Date,Reliance,HDFC Bank,Infosys,NIFTY50
2023-06-30,1164.1805419921875,828.047119140625,1241.286376953125,19189.05078125
2023-07-03,1194.058349609375,837.0021362304688,1239.61328125,19322.55078125
2023-07-04,1181.7557373046875,841.09033203125,1250.2557373046875,19389.0
2023-07-05,1179.8155517578125,814.3712158203125,1252.2540283203125,19398.5
2023-07-06,1204.5804443359375,815.1986083984375,1249.09375,19497.30078125
2023-07-07,1202.2294921875,808.093017578125,1236.3602294921875,19331.80078125
2023-07-10,1248.541015625,806.1705932617188,1235.384521484375,19355.900390625
2023-07-11,1262.0760498046875,802.2528076171875,1253.462158203125,19439.400390625
2023-07-12,1263.468505859375,794.7334594726562,1239.2415771484375,19384.30078125
2023-07-13,1252.1702880859375,798.699951171875,1268.79833984375,19413.75
2023-07-14,1251.1202392578125,800.354736328125,1325.35546875,19564.5
2023-07-17,1276.6842041015625,817.0966796875,1322.5670166015625,19711.44921875
2023-07-18,1287.52587890625,816.4153442382812,1371.131103515625,19749.25
2023-07-19,1297.294921875,820.1140747070312,1370.8988037109375,19833.150390625
2023-07-20,1295.7239990234375,821.8905029296875,1347.244140625,19979.150390625
2023-07-21,1255.6134033203125,815.5636596679688,1237.661376953125,19745.0
2023-07-24,1230.216796875,816.8533325195312,1242.3087158203125,19672.349609375
2023-07-25,1229.425537109375,825.7110595703125,1240.4498291015625,19680.599609375
2023-07-26,1249.4063720703125,822.8395385742188,1253.694580078125,19778.30078125
2023-07-27,1237.7838134765625,814.2982788085938,1257.691162109375,19659.900390625
2023-07-28,1250.2225341796875,799.8680419921875,1245.93359375,19646.05078125
2023-07-31,1260.8065185546875,803.6154174804688,1260.061279296875,19753.80078125
2023-08-01,1242.9769287109375,808.993408203125,1268.89111328125,19733.55078125
2023-08-02,1229.697509765625,798.407958984375,1261.1302490234375,19526.55078125
2023-08-03,1224.529052734375,792.6407470703125,1268.0546875,19381.650390625
2023-08-04,1241.1717529296875,804.1021118164062,1281.1134033203125,19517.0
2023-08-07,1248.244384765625,803.6398315429688,1294.72998046875,19597.30078125
2023-08-08,1240.7264404296875,802.9828491210938,1292.1275634765625,19570.849609375
2023-08-09,1248.911865234375,803.2747802734375,1296.03125,19632.55078125
2023-08-10,1254.475830078125,796.1448364257812,1291.10498046875,19543.099609375
2023-08-11,1259.767822265625,787.8468627929688,1275.0718994140625,19428.30078125
2023-08-14,1274.6546630859375,784.0020751953125,1295.2412109375,19434.55078125
2023-08-16,1273.6160888671875,781.714599609375,1318.4310302734375,19465.0
2023-08-17,1255.2425537109375,777.3831787109375,1311.971435546875,19365.25
2023-08-18,1264.5406494140625,774.1953125,1290.826416015625,19310.150390625
2023-08-21,1250.74267578125,773.5869140625,1306.2552490234375,19393.599609375
2023-08-22,1250.44482421875,770.2775268554688,1304.7216796875,19396.44921875
2023-08-23,1251.8345947265625,772.175537109375,1308.625244140625,19444.0
2023-08-24,1230.7904052734375,768.622802734375,1323.171142578125,19386.69921875
2023-08-25,1225.1075439453125,759.9597778320312,1319.9180908203125,19265.80078125
2023-08-28,1212.897705078125,767.868408203125,1315.7822265625,19306.05078125
2023-08-29,1201.2838134765625,773.976318359375,1317.64111328125,19342.650390625
2023-08-30,1200.142333984375,768.3307495117188,1333.9063720703125,19347.44921875
2023-08-31,1194.6578369140625,764.80224609375,1334.185302734375,19253.80078125
2023-09-01,1197.4619140625,766.384033203125,1341.9927978515625,19435.30078125
2023-09-04,1196.494140625,771.177978515625,1361.7435302734375,19528.80078125
2023-09-05,1202.89697265625,766.4813842773438,1374.570068359375,19574.900390625
2023-09-06,1205.4281005859375,776.507080078125,1373.2222900390625,19611.05078125
2023-09-07,1207.06591796875,783.9777221679688,1362.765869140625,19727.05078125
2023-09-08,1215.1064453125,790.0856323242188,1365.92626953125,19819.94921875
2023-09-11,1228.20947265625,794.173828125,1372.2928466796875,19996.349609375
2023-09-12,1210.4658203125,796.6558837890625,1395.203857421875,19993.19921875
2023-09-13,1216.52099609375,800.0626831054688,1392.64794921875,20070.0
2023-09-14,1217.6376953125,799.5759887695312,1400.6412353515625,20103.099609375
2023-09-15,1219.89599609375,808.7500610351562,1404.96337890625,20192.349609375
